ID, Accommodates, Bathrooms, Bedrooms, Beds, limpieza, extra, finde
1988253, 7, 2, 3, 4, , €15 / night after 2 guests, €70 / night
2001588, 5, 2, 3, 4, €50, , €100 / night
2007535, 6, 1, 3, 4, €5, €10 / night after 3 guests, €42 / night
2015643, 2, 1, 1, 1, , No Charge, 
2023928, 8, 1, 2, 6, , €9 / night after 3 guests, €75 / night
2031161, 3, 1, 1, 2, €24, €14 / night after 2 guests, €55 / night
2038868, 4, 1, 1, 2, €4, €14 / night after the first guest, 
2043982, 2, 1, 1, 1, , €18 / night after the first guest, €20 / night
2047894, 7, 1.5, 4, 5, , €8 / night after 4 guests, €115 / night
2053001, 6, 1, 2, 4, , €8 / night after 3 guests, €70 / night
2053142, 6, 1, 2, 5, , €8 / night after 3 guests, €68 / night
2052714, 8, 1, 2, 7, , €9 / night after 3 guests, €78 / night
2056014, 16+, 2, 1, 1, , €14 / night after the first guest, €16 / night
2055635, 3, 1, 1, 2, , €20 / night after 2 guests, 
2060850, 2, 1, 1, 2, , €18 / night after the first guest, 
2124127, 2, 1, Studio, 1, , €10 / night after the first guest, €40 / night
2125727, 4, 1, 3, 4, , No Charge, 
2138760, 2, 1, 1, 1, €5, No Charge, €45 / night
2144983, 4, 1, 2, 2, , No Charge, 
2141515, 4, 1, 3, 3, , , 
2148063, 6, 1, 2, 4, , €8 / night after 2 guests, €85 / night
2150244, 2, 1, 1, 1, , €5 / night after the first guest, €36 / night
2174929, 3, 1, Studio, 1, , No Charge, €60 / night
2173258, 4, 1, 1, 2, , No Charge, €65 / night
2178192, 2, 1, 1, 1, , No Charge, 
2175170, 5, 1, 2, 5, , €7 / night after 2 guests, €68 / night
2177586, 4, 1, 1, 1, , €15 / night after 2 guests, 
2180943, 5, 1, 3, 4, , €5 / night after the first guest, €65 / night
2188034, 2, 1, 1, 1, €15, No Charge, €22 / night
2233241, 2, 1, 1, 1, , No Charge, 
2238965, 6, 1, 2, 4, , €8 / night after 3 guests, €70 / night
2241378, 2, 2, 1, 2, , €10 / night after the first guest, 
2270551, 10, 2, 4, 6, , €20 / night after 4 guests, €120 / night
2307013, 3, 1, 1, 2, , No Charge, 
2322151, 6, 1, 2, 5, , €15 / night after 4 guests, 
2375390, 10, 6, 5, 6, , No Charge, 
2383086, 3, 1, 1, 2, , €20 / night after 2 guests, 
2385865, 2, 1, 1, 2, €15, No Charge, 
2396437, 6, 2, 3, 4, , No Charge, €120 / night
2400374, 5, 1, 1, 3, , €10 / night after 3 guests, €50 / night
2415036, 3, 1, 3, 3, , €15 / night after the first guest, 
2417908, 2, 1, 1, 1, , No Charge, 
2443637, 2, 1, Studio, 2, €10, No Charge, 
2477006, 2, 1, Studio, 1, €10, No Charge, 
2475601, 2, 1, 1, 1, , €25 / night after the first guest, €72 / night
2482080, 6, 1, 2, 3, , €15 / night after 4 guests, 
2500126, 2, 1, 1, 1, , €10 / night after the first guest, €110 / night
2506099, 16+, 4, 4, 12, , €19 / night after 2 guests, 
2516826, 6, 1, 2, 4, , €15 / night after 4 guests, 
2533730, 12, 2, 5, 10, , €12 / night after 4 guests, 
2548693, 1, 1.5, 1, 1, , , €25 / night
2545522, 3, 1, 1, 2, , €15 / night after 2 guests, 
2562099, 2, 1, 1, 1, , , €68 / night
2567363, 2, , 1, 1, , No Charge, €59 / night
2583973, 2, 1, 1, 1, , , 
2589202, 4, 1, 2, 4, , €10 / night after 2 guests, €70 / night
2598340, 5, 1.5, 3, 4, €40, €20 / night after 4 guests, 
2596925, 5, 1, 2, 4, , €15 / night after 2 guests, €70 / night
2600187, 6, 1, 1, 6, , €10 / night after 5 guests, €120 / night
2600648, 4, 1, 2, 3, , No Charge, 
2619930, 2, 1, 1, 1, , €10 / night after the first guest, €30 / night
2618105, 16+, 4, 8, 14, , €25 / night after the first guest, €25 / night
2619782, 3, 1, 1, 2, , No Charge, 
2657849, 4, 2, 1, 3, , €20 / night after 2 guests, 
2665343, 1, 2, 1, 1, , , 
2688158, 3, 1, 1, 2, , €10 / night after 2 guests, 
2694509, 1, 1, 1, 1, , , €20 / night
2703580, 2, 1, 1, 1, , €5 / night after the first guest, 
2724391, 7, 1, 2, 5, , €10 / night after 3 guests, €110 / night
2734869, 8, 3, 3, 6, , €18 / night after 3 guests, 
2735582, 3, 1, 1, 2, , €10 / night after 2 guests, €60 / night
2754124, 3, 1, 1, 1, €20, €13 / night after 2 guests, €39 / night
2776782, 2, 1, 1, 1, , €5 / night after the first guest, 
2793345, 2, 1, 1, 2, , €10 / night after the first guest, 
2867923, 4, 1, 1, 2, , €10 / night after 2 guests, €42 / night
2872493, 1, 0.5, 1, 1, , , 
2908440, 2, 1, 1, 2, , €10 / night after the first guest, 
2918594, 5, 1, 3, 3, €25, No Charge, 
2984199, 8, 2, 1, 4, €20, €18 / night after the first guest, 
3037177, 4, 1, 3, 3, €60, No Charge, 
3055616, 9, 2, 3, 7, €30, €20 / night after 4 guests, €140 / night
3055630, 10, 2, 3, 8, €30, €20 / night after 4 guests, €140 / night
3063860, 2, 1, 1, 1, , , 
3087546, 4, 1.5, 1, 2, , €10 / night after 2 guests, €90 / night
3092529, 2, 2, 1, 2, , , €36 / night
3118777, 2, 1, 1, 1, €15, , €46 / night
3135101, 4, 1, 1, 2, , No Charge, 
3142042, 5, 1, 1, 4, , €15 / night after 2 guests, 
3142161, 5, 1, 3, 4, , No Charge, 
3157228, 2, 1, 1, 2, €5, , 
3159563, 3, 2, 2, 2, , No Charge, 
3175722, 3, 1, 1, 1, €10, €20 / night after 2 guests, €42 / night
3180368, 2, 1, 1, 1, €12, €12 / night after the first guest, €30 / night
3184979, 5, 2, 4, 4, €30, No Charge, 
3204958, 2, 1, 1, 1, €20, No Charge, €74 / night
3248665, 7, 3, 3, 6, , €12 / night after 2 guests, 
3259596, 5, 1.5, 3, 5, €6, €8 / night after 2 guests, 
3269296, 1, 1, 1, 1, , , 
3283627, 2, 1, 1, 1, €10, No Charge, 
3285946, 4, 1, 2, 3, €24, No Charge, 
3299478, 3, 1, Studio, 2, , €12 / night after 2 guests, €90 / night
3297247, 2, 1, 1, 1, €20, No Charge, €49 / night
3318873, 4, 1, 2, 2, , No Charge, 
3328333, 6, 2, 3, 3, , €10 / night after 3 guests, €75 / night
3331392, 4, 1, 1, 2, €14, €9 / night after 2 guests, €56 / night
3330830, 6, 1, 4, 5, , No Charge, 
3330047, 6, 1.5, 3, 4, €30, €10 / night after 4 guests, 
3339490, 1, 1, 1, 1, , , 
3346971, 4, 1, 1, 2, , €15 / night after 2 guests, €105 / night
3363616, 2, 1, 1, 2, , No Charge, €120 / night
3384085, 2, 1, 1, 1, €10, No Charge, €35 / night
3394762, 4, 1, 2, 3, , , 
3411424, 2, 1, Studio, 1, €8, No Charge, 
3422504, 2, 1, 1, 1, €30, No Charge, €49 / night
3439280, 4, 1, 2, 3, €8, No Charge, 
3475153, 6, 3, 3, 4, €30, €25 / night after 4 guests, €140 / night
